============================================================================================
Box Size: 2.25 X 1 X 0.8 M
Kinect Position: 0.6, 0.35, 0.35
Experiment Time: 10/07/2013 3:52:42 PM and Ticks:635167579620106840
============================================================================================
EVENTTYPE | EVENT# | HANDTYPE | X | Y | Z | TIME | STOPWATCH(ms) | SKELETON ID
SKT | OUT | 0.5600017 | 0.030103 | 2.162 | 3:53:23PM | 41351 | 109
SKT | OUT | 0.5593277 | 0.0297377 | 2.160618 | 3:53:23PM | 41387 | 109
SKT | OUT | 0.5591521 | 0.03753497 | 2.159066 | 3:53:23PM | 41418 | 109
SKT | OUT | 0.5578333 | 0.03048509 | 2.158071 | 3:53:23PM | 41453 | 109
SKT | OUT | 0.5578436 | 0.03206026 | 2.158589 | 3:53:23PM | 41488 | 109
SKT | OUT | 0.5552534 | 0.0376094 | 2.158272 | 3:53:23PM | 41519 | 109
SKT | OUT | 0.5554447 | 0.03154641 | 2.157995 | 3:53:23PM | 41550 | 109
SKT | OUT | 0.5541941 | 0.02782314 | 2.157141 | 3:53:23PM | 41587 | 109
SKT | OUT | 0.5518673 | 0.0336034 | 2.156427 | 3:53:23PM | 41619 | 109
SKT | OUT | 0.549686 | 0.0359396 | 2.156618 | 3:53:23PM | 41655 | 109
SKT | OUT | 0.5472363 | 0.0382444 | 2.15714 | 3:53:23PM | 41705 | 109
SKT | OUT | 0.5444205 | 0.03585451 | 2.158392 | 3:53:23PM | 41721 | 109
SKT | OUT | 0.5397798 | 0.04024649 | 2.157796 | 3:53:23PM | 41750 | 109
SKT | OUT | 0.535196 | 0.04006266 | 2.158162 | 3:53:23PM | 41786 | 109
SKT | OUT | 0.528034 | 0.04180137 | 2.156048 | 3:53:23PM | 41818 | 109
SKT | OUT | 0.5206359 | 0.03820274 | 2.153571 | 3:53:23PM | 41855 | 109
SKT | OUT | 0.513513 | 0.042581 | 2.150917 | 3:53:23PM | 41886 | 109
ENTER|0|RH1|0.975424320809416|0.200830491111889|1.30772026228082|3:53:23PM|41890|109
SKT | IN | 0.5078755 | 0.04691646 | 2.147215 | 3:53:23PM | 41921 | 109
ENTER|1|LH1|0.962782294458694|0.181866623831075|1.04522582571462|3:53:23PM|41921|109
IN   |0|RH1|0.941593021379256|0.201817014768862|1.2963623591586|3:53:23PM|41921|109
SKT | IN | 0.4996759 | 0.04830053 | 2.140397 | 3:53:23PM | 41976 | 109
IN   |1|LH1|0.933908671120471|0.189904785829315|1.04200908234686|3:53:23PM|41976|109
IN   |0|RH1|0.8976279783398|0.2167420253929|1.29196651674509|3:53:23PM|41976|109
SKT | IN | 0.4926741 | 0.04756783 | 2.13591 | 3:53:24PM | 41991 | 109
IN   |1|LH1|0.896381108735982|0.20392314832005|1.03663679667345|3:53:24PM|41991|109
IN   |0|RH1|0.863096026287962|0.218686995880605|1.28752609005869|3:53:24PM|41991|109
SKT | IN | 0.4880958 | 0.05002968 | 2.128806 | 3:53:24PM | 42020 | 109
IN   |1|LH1|0.865858463242816|0.221437424965858|1.02549835784636|3:53:24PM|42020|109
IN   |0|RH1|0.826533343923867|0.230318634917687|1.28380366090061|3:53:24PM|42020|109
SKT | IN | 0.4785944 | 0.04456858 | 2.123455 | 3:53:24PM | 42054 | 109
IN   |1|LH1|0.832130160642113|0.235809490068574|1.01346441886443|3:53:24PM|42054|109
IN   |0|RH1|0.792465235232463|0.243680290995633|1.28616173978282|3:53:24PM|42054|109
SKT | IN | 0.4727427 | 0.04501198 | 2.117499 | 3:53:24PM | 42108 | 109
IN   |1|LH1|0.802559639774952|0.245898999391682|1.00403210333557|3:53:24PM|42108|109
IN   |0|RH1|0.763644719634428|0.255833097759171|1.29036422473478|3:53:24PM|42108|109
SKT | IN | 0.4684182 | 0.03442757 | 2.116075 | 3:53:24PM | 42118 | 109
IN   |1|LH1|0.78316172474672|0.257321838399638|0.995062439044867|3:53:24PM|42118|109
IN   |0|RH1|0.738782489017512|0.271746519682814|1.29744644840357|3:53:24PM|42118|109
SKT | IN | 0.464907 | 0.03048426 | 2.113543 | 3:53:24PM | 42155 | 109
IN   |1|LH1|0.762078547938365|0.267232229759264|0.983193604923749|3:53:24PM|42156|109
IN   |0|RH1|0.71629282136154|0.278738972252728|1.30195446675501|3:53:24PM|42156|109
SKT | IN | 0.4618397 | 0.03477607 | 2.109532 | 3:53:24PM | 42186 | 109
IN   |1|LH1|0.748043382180881|0.273674590566796|0.975507586222433|3:53:24PM|42186|109
IN   |0|RH1|0.696509204664666|0.2883643444382|1.30496700461621|3:53:24PM|42186|109
SKT | IN | 0.4570197 | 0.04326339 | 2.107012 | 3:53:24PM | 42218 | 109
IN   |1|LH1|0.73831322163423|0.281871299682824|0.968461065734738|3:53:24PM|42218|109
IN   |0|RH1|0.686676941358259|0.296141402356738|1.30743213343706|3:53:24PM|42218|109
SKT | IN | 0.4559348 | 0.0435444 | 2.108651 | 3:53:24PM | 42254 | 109
IN   |1|LH1|0.732557439323299|0.289868602392904|0.96634748509768|3:53:24PM|42254|109
IN   |0|RH1|0.678240916900241|0.301485630778745|1.310259777696|3:53:24PM|42254|109
SKT | IN | 0.4514256 | 0.04034254 | 2.107375 | 3:53:24PM | 42308 | 109
IN   |1|LH1|0.730195426384816|0.294926265854664|0.966571002508537|3:53:24PM|42308|109
IN   |0|RH1|0.674073300399996|0.306273257300787|1.31007810274446|3:53:24PM|42308|109
SKT | IN | 0.4550819 | 0.03420567 | 2.107319 | 3:53:24PM | 42323 | 109
IN   |1|LH1|0.728936695456309|0.298490105417845|0.966614454293207|3:53:24PM|42323|109
IN   |0|RH1|0.66968496789311|0.308115239790073|1.30889185114156|3:53:24PM|42323|109
SKT | IN | 0.4518903 | 0.03761858 | 2.107875 | 3:53:24PM | 42356 | 109
IN   |1|LH1|0.727223479096896|0.301263007854753|0.968291371316416|3:53:24PM|42356|109
